name,latitude,longitude,type
Unnamed,11.6988333,9.0859746,clinic
Unnamed,11.816667,7.9,hospital
Tsara Primary Health Centre,11.4507448,7.7276659,hospital
Dayaso Health Post,11.5159251,7.7354815,hospital
Fulatan Primary Health Centre,11.400621,7.8588881,hospital
Gwangwan Primary Health Centre,11.4870724,7.7472255,hospital
Hago Primary Health Centre,11.4799185,7.8311742,hospital
Ruwan Bago Health Post,11.4071835,7.7574532,hospital
Sundu Health Post,11.3806332,7.7615261,hospital
Tudun Magaji Health Post,11.4528744,7.7818216,hospital
Unguwar Liman Health Post,11.4050538,7.7436668,hospital
Unguwar Malam Amadu Health Post,11.4932289,7.7720426,hospital
Zarewa Primary Health Centre,11.3970316,7.8119881,hospital
Bari Primary Health Centre,11.5683198,7.7511988,hospital
Kaleku Health Post,11.6249586,7.883484,hospital
Karshi Health Post,11.54124,7.825976,hospital
Kauyen Liman Health Post,11.5426114,7.820641,hospital
Rogo General Hospital,11.5526616,7.8308789,hospital
Tsohuwar Rogo Health Post,11.574668,7.799462,hospital
Zoza Health Post,11.6274485,7.8718061,hospital
Ba'Awa Health Post,11.5984067,7.9871577,hospital
Jajaye Primary Health Centre,11.5567689,7.9357513,hospital
Maska Health Post,11.5945109,8.0809388,hospital
Sagondare Health Post,11.4800424,7.9547419,hospital
Yanoko Primary Health Centre,11.4558949,7.9180823,hospital
Dalal Health Post,11.8351422,7.9491289,hospital
Dambazau Health Post,11.8114536,8.0292982,hospital
Daura Health Post,11.7256288,7.9830086,hospital
Dederi Health Post,11.8436645,8.0573574,hospital
Dutsan Amare Health Post,11.8273137,7.9908227,hospital
Kadafa Health Post,11.7988485,7.941187,hospital
Kara Primary Health Centre,11.8432876,7.9591133,hospital
Kurugu Health Post,11.8328346,8.039604,hospital
Sabon Birni Primary Health Centre,11.8562137,8.0313367,hospital
Sabon Fegi Health Post,11.806303,8.0639555,hospital
Sabon Layin Kara Health Post,11.8249152,7.9326276,hospital
Tudun Kaya Health Post,11.7332488,7.930958,hospital
Tumfafi Health Post,11.8377453,8.02226,hospital
Turawa Primary Health Centre,11.6976912,8.0479644,hospital
Unguwar Tofa Health Post,11.785645,7.9596402,hospital
Yola Primary Health Centre,11.7198087,7.9490968,hospital
Zangun Majema Health Post,11.8161764,8.002074,hospital
Dadin Kowa Primary Health Centre,10.7017877,8.6305712,hospital
Dariyar Shere Primary Health Centre,10.6704612,8.7410562,hospital
Dokar Sati Health Post,10.728985,8.619358,hospital
Kwando Primary Health Centre,10.7081211,8.6826966,hospital
Mekwandira Health Post,10.8088385,8.6301797,hospital
Ririwai Primary Health Centre,10.750129,8.7279186,hospital
Achilafiya Health Post,11.7484648,8.1386675,hospital
Alhazawa Health Post,11.7093773,8.167287,hospital
Bargoni Health Post,11.719051,8.1052227,hospital
Baskore Health Post,11.8426972,8.1478795,hospital
Dashi Health Post,11.7173406,8.227324,hospital
Dugabau Primary Health Centre,11.8027135,8.2070991,hospital
Gazan Health Post,11.7108499,8.1974104,hospital
Hawadin Galadima Primary Health Centre,11.8657616,8.2355798,hospital
Husama Health Post,11.788362,8.113176,hospital
Kabo Cottage General Hospital,11.8511893,8.1677976,hospital
Kafin Dabga Health Post,11.8318724,8.1230959,hospital
Kailani Health Post,11.7301784,8.1820486,hospital
Kanwa Health Post,11.8264287,8.1505252,hospital
Kauyen Mahuta Health Post,11.8663042,8.1539167,hospital
Kiru General Hospital,11.70699,8.1347617,hospital
Malan Gajere Health Post,11.8602942,8.1921146,hospital
Masanawa Health Post,11.8468936,8.2425612,hospital
Unguwar Turaki Health Post,11.8202943,8.2309109,hospital
Walawa Health Post,11.786184,8.2231491,hospital
Yammedi Primary Health Centre,11.82384,8.0924596,hospital
Zuwo Health Post,11.7502925,8.2055225,hospital
Bauda Health Post,11.5889314,8.1904451,hospital
Dangora Primary Health Centre,11.5360867,8.1572808,hospital
Durmawa Health Post,11.6051805,8.2583199,hospital
Gwarmai Health Post,11.533195,8.2548285,hospital
Kogo Primary Health Centre,11.6230036,8.1719701,hospital
Maraku Health Post,11.6771402,8.1288908,hospital
Tsaudawa Health Post,11.6809365,8.202676,hospital
Yako Primary Health Centre,11.6557163,8.1929152,hospital
Badafi Health Post,11.3735413,8.1691508,hospital
Gajale Health Post,11.4345387,8.2370948,hospital
Hayin Gwarmai Health Post,11.4599134,8.2035506,hospital
Yalwa Health Post,11.4865376,8.1866211,hospital
Maganda Health Post,10.6404903,8.7593621,hospital
Rufai Health Post,10.6387049,8.6471287,hospital
Yalwan Dan Musa Health Post,10.5758648,8.7159172,hospital
Badari Health Post,11.8030905,7.893615,hospital
Dan Gayaki Health Post,11.725309,7.903104,hospital
Gurawa Health Post,11.7676412,7.888229,hospital
Jama'A Primary Health Centre,11.8151982,7.8661004,hospital
Kwanyawa Primary Health Centre,11.771775,7.867357,hospital
Malamawa Health Post,11.8352349,7.859759,hospital
Bauda Health Post,11.588927,8.190405,hospital
Dangora Primary Health Centre,11.5360675,8.1572761,hospital
Durmawa Health Post,11.605175,8.2583278,hospital
Gwarmai Health Post,11.5331938,8.2548556,hospital
Kogo Primary Health Centre,11.6230025,8.1719512,hospital
Maraku Health Post,11.6771255,8.1288835,hospital
Tsaudawa Health Post,11.6809406,8.2026737,hospital
Yako Primary Health Centre,11.6556987,8.1928273,hospital
Bankaura Health Post,12.2707934,8.3813869,hospital
Belli Health Post,12.3118982,8.2849823,hospital
Bum-Bum Health Post,12.2486915,8.3970018,hospital
Daddo Health Post,12.2998701,8.3351345,hospital
Damargu Primary Health Centre,12.2658179,8.3215707,hospital
Damfamin Tofa Health Post,12.2226367,8.4283419,hospital
Gawon Bature Health Post,12.2627379,8.4188614,hospital
Gwarmai Primary Health Centre,12.3633923,8.4054439,hospital
Jinjimawa Health Post,12.3310091,8.2737713,hospital
Jodade Health Post,12.3720534,8.3057174,hospital
Kawaji Health Post,12.2319051,8.3329369,hospital
Kirya Health Post,12.2126896,8.3888751,hospital
Kuku Primary Health Centre,12.372987,8.2819031,hospital
Kwamarawa Health Post,12.3302322,8.3897956,hospital
Saye Primary Health Centre,12.275517,8.3961623,hospital
Taddangari Primary Health Centre,12.2352404,8.309361,hospital
Tinki Health Post,12.303154,8.3925522,hospital
Tofawa Health Post,12.3468822,8.3289016,hospital
Tukuibi Health Post,12.2674557,8.3416815,hospital
Yanbundu Health Post,12.2691565,8.2931442,hospital
Yola Health Post,12.2443931,8.2875943,hospital
Zangon Mata Health Post,12.2334392,8.4135659,hospital
Baje Primary Health Centre,12.3653887,8.2574267,hospital
Chiromawa Primary Health Centre,12.321506,8.1594934,hospital
Damisa Health Post,12.309377,8.2164745,hospital
Danzabua Primary Health Centre,12.3458238,8.1102497,hospital
Farsa Health Post,12.3815387,8.1012747,hospital
Gidan Nisau Health Post,12.3579904,8.192957,hospital
Hagawa Health Post,12.2554986,8.1690565,hospital
Karari Health Post,12.2428387,8.1744508,hospital
Lamba Health Post,12.3400075,8.1480733,hospital
Malikawa Sarari Health Post,12.3805223,8.1475524,hospital
Rigana Primary Health Centre,12.3779428,8.2101924,hospital
Rimaye Health Post,12.2665799,8.2011596,hospital
Tatsan Health Post,12.2885597,8.0928191,hospital
Tsidau Health Post,12.3004044,8.1492133,hospital
Waire Health Post,12.3455345,8.2209789,hospital
Yangwarzo Health Post,12.2743958,8.1558689,hospital
Mariri Primary Health Centre,11.9498774,8.6091166,hospital
Kokai Health Post,12.2187898,8.0221474,hospital
Yanmamman Health Post,12.2622436,8.0413869,hospital
Gwarabjawa Health Post,12.4479598,8.5418922,hospital
Mazan Gudu Health Post,12.1953802,8.9072145,hospital
Amino Kanu Teaching Hospital,11.9767135,8.5942116,hospital
Unnamed,11.9829314,8.5126277,hospital
Aminu Kano Teaching Hospital,11.9638116,8.552435,hospital
Aminu Kano Teaching Hospital,11.9636367,8.5526209,hospital
Aminu Kano Teaching Hospital,11.9627999,8.5524658,hospital
Aminu Kano Teaching Hospital,11.962639,8.5531943,hospital
Aminu Kano Teaching Hospital,11.9614941,8.5533165,hospital
Aminu Kano Teaching Hospital,11.9600687,8.5535186,hospital
Aminu Kano Teaching Hospital,11.9606187,8.5502946,hospital
Aminu Kano Teaching Hospital,11.9607325,8.5500686,hospital
Aminu Kano Teaching Hospital,11.9632913,8.5479715,hospital
Aminu Kano Teaching Hospital,11.9635221,8.5479117,hospital
Aminu Kano Teaching Hospital,11.9662583,8.5484043,hospital
Aminu Kano Teaching Hospital,11.9656503,8.5521731,hospital
Aminu Kano Teaching Hospital,11.9639124,8.5518866,hospital
Aminu Kano Teaching Hospital,11.9638116,8.552435,hospital
National Orthopaedic Hospital,12.0226733,8.5021951,hospital
National Orthopaedic Hospital,12.0193024,8.5034813,hospital
National Orthopaedic Hospital,12.0185321,8.5014374,hospital
National Orthopaedic Hospital,12.0177994,8.4996232,hospital
National Orthopaedic Hospital,12.0186673,8.4992709,hospital
National Orthopaedic Hospital,12.0200683,8.4997395,hospital
National Orthopaedic Hospital,12.0217456,8.5012982,hospital
National Orthopaedic Hospital,12.0226733,8.5021951,hospital
Unnamed,11.9907081,8.5673886,hospital
Unnamed,11.990716,8.5688638,hospital
Unnamed,11.9922168,8.5685634,hospital
Unnamed,11.9928176,8.5685366,hospital
Unnamed,11.9928153,8.5673735,hospital
Unnamed,11.9907081,8.5673886,hospital
Fuskar Gabas Primary Health Centre,12.0051337,8.5182253,hospital
Fuskar Gabas Primary Health Centre,12.0052477,8.51846,hospital
Fuskar Gabas Primary Health Centre,12.0051448,8.5185037,hospital
Fuskar Gabas Primary Health Centre,12.0050837,8.5183998,hospital
Fuskar Gabas Primary Health Centre,12.0050245,8.5182787,hospital
Fuskar Gabas Primary Health Centre,12.0051337,8.5182253,hospital
Unnamed,12.2658526,8.3214061,hospital
Unnamed,12.2659193,8.3216929,hospital
Unnamed,12.2658015,8.3217252,hospital
Unnamed,12.2657778,8.3216361,hospital
Unnamed,12.2657342,8.3216483,hospital
Unnamed,12.2657103,8.3215584,hospital
Unnamed,12.2657538,8.3215462,hospital
Unnamed,12.2657259,8.3214415,hospital
Unnamed,12.2658526,8.3214061,hospital
Geza Health Post,12.18778,8.5083895,hospital
Geza Health Post,12.1878111,8.5084823,hospital
Geza Health Post,12.1877327,8.5085121,hospital
Geza Health Post,12.1877023,8.5084153,hospital
Geza Health Post,12.18778,8.5083895,hospital
Rafin Tsamiya Health Post,12.1952231,8.0409585,hospital
Rafin Tsamiya Health Post,12.1951568,8.0409622,hospital
Rafin Tsamiya Health Post,12.1951559,8.0410576,hospital
Rafin Tsamiya Health Post,12.1952267,8.0410548,hospital
Rafin Tsamiya Health Post,12.1952231,8.0409585,hospital
Unnamed,12.3720931,8.3056647,hospital
Unnamed,12.3720974,8.3057712,hospital
Unnamed,12.372005,8.3057751,hospital
Unnamed,12.3720007,8.3056686,hospital
Unnamed,12.3720931,8.3056647,hospital
Kasuwar Kuka Primary Health Centre,12.430026,8.3524069,hospital
Kasuwar Kuka Primary Health Centre,12.4300117,8.3525479,hospital
Kasuwar Kuka Primary Health Centre,12.4300298,8.3525498,hospital
Kasuwar Kuka Primary Health Centre,12.4300188,8.3526579,hospital
Kasuwar Kuka Primary Health Centre,12.4298507,8.35264,hospital
Kasuwar Kuka Primary Health Centre,12.429846,8.3526861,hospital
Kasuwar Kuka Primary Health Centre,12.429773,8.3526784,hospital
Kasuwar Kuka Primary Health Centre,12.4298028,8.3523833,hospital
Kasuwar Kuka Primary Health Centre,12.430026,8.3524069,hospital
Kwarkiya Health Post,12.2474932,8.5962376,hospital
Kwarkiya Health Post,12.2475235,8.5963003,hospital
Kwarkiya Health Post,12.2474238,8.5963509,hospital
Kwarkiya Health Post,12.2473934,8.5962883,hospital
Kwarkiya Health Post,12.2474932,8.5962376,hospital
Garke Health Post,12.2114767,8.5889773,hospital
Garke Health Post,12.2114836,8.5890695,hospital
Garke Health Post,12.2113599,8.5890792,hospital
Garke Health Post,12.211353,8.5889871,hospital
Garke Health Post,12.2114767,8.5889773,hospital
Kankarawa Health Post,12.2231162,8.6239699,hospital
Kankarawa Health Post,12.2231197,8.624176,hospital
Kankarawa Health Post,12.2230285,8.6241776,hospital
Kankarawa Health Post,12.2230251,8.6239715,hospital
Kankarawa Health Post,12.2231162,8.6239699,hospital
Gasgainu Health Post,12.2381206,8.6430819,hospital
Gasgainu Health Post,12.2381397,8.6431625,hospital
Gasgainu Health Post,12.2380174,8.6431928,hospital
Gasgainu Health Post,12.2379983,8.6431121,hospital
Gasgainu Health Post,12.2381206,8.6430819,hospital
Mai Aduwa Health Post,12.2752198,8.570435,hospital
Mai Aduwa Health Post,12.2752263,8.5705501,hospital
Mai Aduwa Health Post,12.2751576,8.5705542,hospital
Mai Aduwa Health Post,12.2751511,8.5704391,hospital
Mai Aduwa Health Post,12.2752198,8.570435,hospital
Danbawa Health Post,12.2560367,8.5457007,hospital
Danbawa Health Post,12.2560459,8.5458108,hospital
Danbawa Health Post,12.2559694,8.5458174,hospital
Danbawa Health Post,12.2559602,8.5457074,hospital
Danbawa Health Post,12.2560367,8.5457007,hospital
Abdullahi Muhammad Wase General Hospital;Kano Emergency Operations Center,11.9956125,8.5494572,hospital
Abdullahi Muhammad Wase General Hospital;Kano Emergency Operations Center,11.9958549,8.5498141,hospital
Abdullahi Muhammad Wase General Hospital;Kano Emergency Operations Center,11.9958686,8.5498467,hospital
Abdullahi Muhammad Wase General Hospital;Kano Emergency Operations Center,11.9959191,8.54978,hospital
Abdullahi Muhammad Wase General Hospital;Kano Emergency Operations Center,11.9960258,8.5496005,hospital
Abdullahi Muhammad Wase General Hospital;Kano Emergency Operations Center,11.996073,8.5495211,hospital
Abdullahi Muhammad Wase General Hospital;Kano Emergency Operations Center,11.9960852,8.5495005,hospital
Abdullahi Muhammad Wase General Hospital;Kano Emergency Operations Center,11.9963692,8.5496467,hospital
Abdullahi Muhammad Wase General Hospital;Kano Emergency Operations Center,11.9964407,8.5497693,hospital
Abdullahi Muhammad Wase General Hospital;Kano Emergency Operations Center,11.9970612,8.5491629,hospital
Abdullahi Muhammad Wase General Hospital;Kano Emergency Operations Center,11.997648,8.54855,hospital
Abdullahi Muhammad Wase General Hospital;Kano Emergency Operations Center,11.9978331,8.5483587,hospital
Abdullahi Muhammad Wase General Hospital;Kano Emergency Operations Center,11.9981066,8.5480834,hospital
Abdullahi Muhammad Wase General Hospital;Kano Emergency Operations Center,11.9985188,8.5476577,hospital
Abdullahi Muhammad Wase General Hospital;Kano Emergency Operations Center,11.9988322,8.5472985,hospital
Abdullahi Muhammad Wase General Hospital;Kano Emergency Operations Center,11.9980414,8.5470577,hospital
Abdullahi Muhammad Wase General Hospital;Kano Emergency Operations Center,11.9975975,8.54689,hospital
Abdullahi Muhammad Wase General Hospital;Kano Emergency Operations Center,11.9967226,8.5477587,hospital
Abdullahi Muhammad Wase General Hospital;Kano Emergency Operations Center,11.9962051,8.5482468,hospital
Abdullahi Muhammad Wase General Hospital;Kano Emergency Operations Center,11.9959149,8.5485479,hospital
Abdullahi Muhammad Wase General Hospital;Kano Emergency Operations Center,11.9955615,8.5488919,hospital
Abdullahi Muhammad Wase General Hospital;Kano Emergency Operations Center,11.9959485,8.5490511,hospital
Abdullahi Muhammad Wase General Hospital;Kano Emergency Operations Center,11.9959506,8.5492768,hospital
Abdullahi Muhammad Wase General Hospital;Kano Emergency Operations Center,11.9959261,8.5493032,hospital
Abdullahi Muhammad Wase General Hospital;Kano Emergency Operations Center,11.9959086,8.549322,hospital
Abdullahi Muhammad Wase General Hospital;Kano Emergency Operations Center,11.9958712,8.5493379,hospital
Abdullahi Muhammad Wase General Hospital;Kano Emergency Operations Center,11.9956125,8.5494572,hospital
Unnamed,11.8152834,7.865964,hospital
Unnamed,11.815312,7.8661261,hospital
Unnamed,11.8153695,7.866117,hospital
Unnamed,11.815381,7.8661897,hospital
Unnamed,11.8150868,7.8662424,hospital
Unnamed,11.8150536,7.866032,hospital
Unnamed,11.8151775,7.8660136,hospital
Unnamed,11.8151712,7.8659783,hospital
Unnamed,11.8152834,7.865964,hospital
Sarbi Health Post,12.2973246,8.6734636,hospital
Sarbi Health Post,12.297332,8.6735433,hospital
Sarbi Health Post,12.297224,8.6735538,hospital
Sarbi Health Post,12.2972165,8.6734742,hospital
Sarbi Health Post,12.2973246,8.6734636,hospital
Unnamed,11.8352713,7.8596823,hospital
Unnamed,11.8352949,7.8598131,hospital
Unnamed,11.8352105,7.859829,hospital
Unnamed,11.8351869,7.8596982,hospital
Unnamed,11.8352713,7.8596823,hospital
Kwandarma Health Post,12.2171071,8.6628931,hospital
Kwandarma Health Post,12.2171353,8.6630047,hospital
Kwandarma Health Post,12.2170575,8.6630253,hospital
Kwandarma Health Post,12.2170292,8.6629138,hospital
Kwandarma Health Post,12.2171071,8.6628931,hospital
Zango Health Post,12.2511853,8.6998642,hospital
Zango Health Post,12.2512096,8.6999769,hospital
Zango Health Post,12.251131,8.6999947,hospital
Zango Health Post,12.2511066,8.699882,hospital
Zango Health Post,12.2511853,8.6998642,hospital
Bare Bari Health Post,12.493306,8.4979338,hospital
Bare Bari Health Post,12.4933429,8.4980365,hospital
Bare Bari Health Post,12.4932497,8.4980717,hospital
Bare Bari Health Post,12.4932127,8.497969,hospital
Bare Bari Health Post,12.493306,8.4979338,hospital
Gaya South Health Post,11.8576617,9.0046706,hospital
Gaya South Health Post,11.8578573,9.0046032,hospital
Gaya South Health Post,11.8578837,9.0047043,hospital
Gaya South Health Post,11.8578507,9.0047156,hospital
Gaya South Health Post,11.8578705,9.0048054,hospital
Gaya South Health Post,11.8577562,9.0048436,hospital
Gaya South Health Post,11.857732,9.0047448,hospital
Gaya South Health Post,11.8576815,9.0047627,hospital
Gaya South Health Post,11.8576617,9.0046706,hospital
Shawu Health Post,11.437127,9.1369032,hospital
Shawu Health Post,11.4371577,9.1370253,hospital
Shawu Health Post,11.4370745,9.1370471,hospital
Shawu Health Post,11.4370438,9.136925,hospital
Shawu Health Post,11.437127,9.1369032,hospital
Baushe Health Post,12.5173919,8.632726,hospital
Baushe Health Post,12.5174134,8.6328358,hospital
Baushe Health Post,12.5173242,8.6328541,hospital
Baushe Health Post,12.5173028,8.6327443,hospital
Baushe Health Post,12.5173919,8.632726,hospital
Ruwantsa Health Post,12.4080553,8.7386272,hospital
Ruwantsa Health Post,12.4080695,8.7387476,hospital
Ruwantsa Health Post,12.4079862,8.7387578,hospital
Ruwantsa Health Post,12.407972,8.7386374,hospital
Ruwantsa Health Post,12.4080553,8.7386272,hospital
Unnamed,11.3972934,7.8119823,hospital
Unnamed,11.397034,7.8120741,hospital
Unnamed,11.3970218,7.8120382,hospital
Unnamed,11.3969622,7.8120593,hospital
Unnamed,11.3969219,7.8119409,hospital
Unnamed,11.3969908,7.8119165,hospital
Unnamed,11.3970052,7.8119588,hospital
Unnamed,11.3970757,7.8119338,hospital
Unnamed,11.3970613,7.8118915,hospital
Unnamed,11.3971413,7.8118632,hospital
Unnamed,11.3971576,7.811911,hospital
Unnamed,11.3972571,7.8118757,hospital
Unnamed,11.3972934,7.8119823,hospital
Unnamed,11.493246,7.7719842,hospital
Unnamed,11.4932866,7.7720915,hospital
Unnamed,11.493229,7.7721142,hospital
Unnamed,11.4931884,7.7720069,hospital
Unnamed,11.493246,7.7719842,hospital
Unnamed,11.3805944,7.7613515,hospital
Unnamed,11.3806413,7.7614005,hospital
Unnamed,11.3805514,7.76149,hospital
Unnamed,11.3805044,7.761441,hospital
Unnamed,11.3805944,7.7613515,hospital
Unnamed,11.4799809,7.8311189,hospital
Unnamed,11.4799839,7.8312084,hospital
Unnamed,11.479865,7.8312126,hospital
Unnamed,11.4798619,7.8311231,hospital
Unnamed,11.4799809,7.8311189,hospital
Unnamed,11.4529201,7.7817663,hospital
Unnamed,11.4529317,7.7818432,hospital
Unnamed,11.4528407,7.7818575,hospital
Unnamed,11.4528291,7.7817806,hospital
Unnamed,11.4529201,7.7817663,hospital
Unnamed,11.4005513,7.8587372,hospital
Unnamed,11.4007368,7.8589453,hospital
Unnamed,11.4006651,7.8590118,hospital
Unnamed,11.4004797,7.8588036,hospital
Unnamed,11.4005513,7.8587372,hospital
Unnamed,11.4071957,7.757407,hospital
Unnamed,11.4072211,7.7574988,hospital
Unnamed,11.4071423,7.7575215,hospital
Unnamed,11.4071169,7.7574297,hospital
Unnamed,11.4071957,7.757407,hospital
Unnamed,11.4871243,7.7471835,hospital
Unnamed,11.4871631,7.7472713,hospital
Unnamed,11.487072,7.7473131,hospital
Unnamed,11.4870551,7.7472748,hospital
Unnamed,11.4870466,7.7472787,hospital
Unnamed,11.4870247,7.7472292,hospital
Unnamed,11.4871243,7.7471835,hospital
Unnamed,11.4051328,7.7437086,hospital
Unnamed,11.4050211,7.7437345,hospital
Unnamed,11.4049996,7.7436381,hospital
Unnamed,11.4050647,7.743623,hospital
Unnamed,11.405077,7.7436782,hospital
Unnamed,11.4051236,7.7436674,hospital
Unnamed,11.4051328,7.7437086,hospital
Unnamed,11.5160534,7.73554,hospital
Unnamed,11.5158975,7.7355888,hospital
Unnamed,11.5158832,7.7355412,hospital
Unnamed,11.5158941,7.7355378,hospital
Unnamed,11.5158691,7.7354546,hospital
Unnamed,11.515972,7.7354228,hospital
Unnamed,11.5159793,7.7354466,hospital
Unnamed,11.5160213,7.7354334,hospital
Unnamed,11.5160534,7.73554,hospital
Falgore Primary Health Centre,11.5117827,7.6943317,hospital
Falgore Primary Health Centre,11.5119637,7.6948407,hospital
Falgore Primary Health Centre,11.5116174,7.694979,hospital
Falgore Primary Health Centre,11.5114219,7.6944575,hospital
Falgore Primary Health Centre,11.5117827,7.6943317,hospital
Unnamed,11.4509704,7.7275029,hospital
Unnamed,11.4510063,7.7276253,hospital
Unnamed,11.4509008,7.7276575,hospital
Unnamed,11.4508649,7.7275351,hospital
Unnamed,11.4509704,7.7275029,hospital
Unnamed,11.4509652,7.7277833,hospital
Unnamed,11.4508976,7.7278084,hospital
Unnamed,11.450857,7.7276945,hospital
Unnamed,11.4509246,7.7276694,hospital
Unnamed,11.4509652,7.7277833,hospital
Unnamed,11.5524111,7.8306478,hospital
Unnamed,11.5524158,7.8307576,hospital
Unnamed,11.5522278,7.830766,hospital
Unnamed,11.5522318,7.8308592,hospital
Unnamed,11.5523652,7.8308532,hospital
Unnamed,11.5523705,7.8309753,hospital
Unnamed,11.5521908,7.8310107,hospital
Unnamed,11.5521239,7.8310137,hospital
Unnamed,11.5521087,7.8306614,hospital
Unnamed,11.5522102,7.8306568,hospital
Unnamed,11.5522087,7.8306231,hospital
Unnamed,11.552306,7.8306187,hospital
Unnamed,11.5523075,7.8306525,hospital
Unnamed,11.5524111,7.8306478,hospital
Unnamed,11.5523916,7.831151,hospital
Unnamed,11.5523994,7.8312472,hospital
Unnamed,11.552177,7.8312661,hospital
Unnamed,11.5521691,7.8311699,hospital
Unnamed,11.5523916,7.831151,hospital
Unnamed,11.5426305,7.8205489,hospital
Unnamed,11.5426561,7.820688,hospital
Unnamed,11.5425901,7.8207007,hospital
Unnamed,11.5425645,7.8205615,hospital
Unnamed,11.5426305,7.8205489,hospital
Unnamed,11.6250134,7.8834283,hospital
Unnamed,11.6250293,7.8835094,hospital
Unnamed,11.6249012,7.8835356,hospital
Unnamed,11.6248853,7.8834545,hospital
Unnamed,11.6250134,7.8834283,hospital
Unnamed,11.6274938,7.8717439,hospital
Unnamed,11.6275157,7.8718267,hospital
Unnamed,11.6274194,7.8718533,hospital
Unnamed,11.6273974,7.8717705,hospital
Unnamed,11.6274938,7.8717439,hospital
Unnamed,11.5746484,7.7993887,hospital
Unnamed,11.574685,7.7994731,hospital
Unnamed,11.5746181,7.7995033,hospital
Unnamed,11.5745815,7.799419,hospital
Unnamed,11.5746484,7.7993887,hospital
Unnamed,11.541338,7.8259077,hospital
Unnamed,11.5412677,7.8260364,hospital
Unnamed,11.5412034,7.8259998,hospital
Unnamed,11.5412348,7.8259424,hospital
Unnamed,11.54119,7.8259169,hospital
Unnamed,11.541229,7.8258457,hospital
Unnamed,11.541338,7.8259077,hospital
Unnamed,11.5945554,8.0808756,hospital
Unnamed,11.5945923,8.0809439,hospital
Unnamed,11.5944816,8.0810061,hospital
Unnamed,11.5944448,8.0809379,hospital
Unnamed,11.5945554,8.0808756,hospital
Unnamed,11.5568039,7.9356822,hospital
Unnamed,11.5568436,7.9357478,hospital
Unnamed,11.5567442,7.9358106,hospital
Unnamed,11.5567045,7.935745,hospital
Unnamed,11.5568039,7.9356822,hospital
Unnamed,11.5983817,7.9870093,hospital
Unnamed,11.5984185,7.9870975,hospital
Unnamed,11.5984653,7.9870772,hospital
Unnamed,11.5985006,7.9871619,hospital
Unnamed,11.5984538,7.9871822,hospital
Unnamed,11.5984974,7.9872867,hospital
Unnamed,11.5984104,7.9873245,hospital
Unnamed,11.5982948,7.9870471,hospital
Unnamed,11.5983817,7.9870093,hospital
Unnamed,11.4559424,7.9180268,hospital
Unnamed,11.4559702,7.9180943,hospital
Unnamed,11.4558569,7.9181429,hospital
Unnamed,11.4558291,7.9180755,hospital
Unnamed,11.4559424,7.9180268,hospital
Unnamed,11.4800603,7.9546787,hospital
Unnamed,11.4800941,7.9547749,hospital
Unnamed,11.4800159,7.9548035,hospital
Unnamed,11.4799821,7.9547073,hospital
Unnamed,11.4800603,7.9546787,hospital
Unnamed,11.697722,8.0479056,hospital
Unnamed,11.6977435,8.0479786,hospital
Unnamed,11.6976175,8.0480173,hospital
Unnamed,11.697596,8.0479443,hospital
Unnamed,11.697722,8.0479056,hospital
Unnamed,11.7199482,7.9489474,hospital
Unnamed,11.719946,7.9489645,hospital
Unnamed,11.7199634,7.9489669,hospital
Unnamed,11.7199611,7.9489842,hospital
Unnamed,11.7199456,7.9489821,hospital
Unnamed,11.7199423,7.949007,hospital
Unnamed,11.7199617,7.9490097,hospital
Unnamed,11.7199563,7.9490509,hospital
Unnamed,11.7199345,7.9490479,hospital
Unnamed,11.7199313,7.9490726,hospital
Unnamed,11.7199419,7.949074,hospital
Unnamed,11.719939,7.9490957,hospital
Unnamed,11.7199289,7.9490944,hospital
Unnamed,11.719911,7.9492311,hospital
Unnamed,11.7196823,7.9491998,hospital
Unnamed,11.719714,7.9489577,hospital
Unnamed,11.7198729,7.9489794,hospital
Unnamed,11.7198797,7.9489281,hospital
Unnamed,11.7199231,7.948934,hospital
Unnamed,11.7199218,7.9489438,hospital
Unnamed,11.7199482,7.9489474,hospital
Unnamed,11.8063138,8.0638816,hospital
Unnamed,11.8063536,8.0639733,hospital
Unnamed,11.8062849,8.0640044,hospital
Unnamed,11.8062451,8.0639127,hospital
Unnamed,11.8063138,8.0638816,hospital
Unnamed,11.7856741,7.9595955,hospital
Unnamed,11.7856786,7.9596921,hospital
Unnamed,11.7856028,7.9596957,hospital
Unnamed,11.7855984,7.9595992,hospital
Unnamed,11.7856741,7.9595955,hospital
Unnamed,11.8377837,8.0222164,hospital
Unnamed,11.8377878,8.0222972,hospital
Unnamed,11.8376893,8.0223024,hospital
Unnamed,11.8376853,8.0222215,hospital
Unnamed,11.8377837,8.0222164,hospital
Unnamed,11.7332215,7.9308707,hospital
Unnamed,11.7332753,7.9308717,hospital
Unnamed,11.7332727,7.9310156,hospital
Unnamed,11.7332189,7.9310146,hospital
Unnamed,11.7332215,7.9308707,hospital
Unnamed,11.7988964,7.9411326,hospital
Unnamed,11.7989028,7.9412525,hospital
Unnamed,11.7988086,7.9412578,hospital
Unnamed,11.7988022,7.9411378,hospital
Unnamed,11.7988964,7.9411326,hospital
Unnamed,11.8114854,8.02927,hospital
Unnamed,11.8115329,8.0293378,hospital
Unnamed,11.8114461,8.0294014,hospital
Unnamed,11.8113985,8.0293336,hospital
